,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
221,Matthieu Pavon,Pinehurst Resort & Country Club (Course No. 2),5,-3,277,67,70,69,71,2:21pm,False,complete,48153
222,Hideki Matsuyama,Pinehurst Resort & Country Club (Course No. 2),6,-2,278,72,66,70,70,1:59pm,False,complete,32839
223,Russell Henley,Pinehurst Resort & Country Club (Course No. 2),T7,-1,279,70,70,72,67,12:48pm,False,complete,34098
224,Xander Schauffele,Pinehurst Resort & Country Club (Course No. 2),T7,-1,279,70,69,72,68,12:59pm,False,complete,48081
225,Sam Burns,Pinehurst Resort & Country Club (Course No. 2),T9,E,280,73,67,73,67,12:15pm,False,complete,47504
226,Davis Thompson,Pinehurst Resort & Country Club (Course No. 2),T9,E,280,70,72,70,68,12:59pm,False,complete,58168
227,Corey Conners,Pinehurst Resort & Country Club (Course No. 2),T9,E,280,69,70,71,70,1:37pm,False,complete,39997
228,Sergio Garcia,Pinehurst Resort & Country Club (Course No. 2),T12,+1,281,69,71,71,70,1:10pm,False,complete,21209
229,Ludvig Åberg,Pinehurst Resort & Country Club (Course No. 2),T12,+1,281,66,69,73,73,1:59pm,False,complete,52955
230,Thomas Detry,Pinehurst Resort & Country Club (Course No. 2),T14,+2,282,69,67,76,70,12:37pm,False,complete,33653
231,Collin Morikawa,Pinehurst Resort & Country Club (Course No. 2),T14,+2,282,70,74,66,72,1:37pm,False,complete,50525
232,Tommy Fleetwood,Pinehurst Resort & Country Club (Course No. 2),T16,+3,283,70,75,70,68,11:15am,False,complete,30911
233,Akshay Bhatia,Pinehurst Resort & Country Club (Course No. 2),T16,+3,283,68,71,73,71,12:48pm,False,complete,56630
234,Taylor Pendrith,Pinehurst Resort & Country Club (Course No. 2),T16,+3,283,71,70,70,72,1:10pm,False,complete,40250
